name,location,cuisines,estimated_cost_for_two,rating
Bak'd Goodies,electronic city,bakery,350.0,
Nasma Restaurant,electronic city,"arabian, chinese, north indian",550.0,
Healthy Bill,electronic city,"beverages, fast food, juices, salad, sandwich",200.0,
Arya Bhavan Sweets,electronic city,"mithai, north indian, street food",300.0,
Jyoti's Kitchen-Donne Biryani,electronic city,"chinese, north indian, south indian",300.0,
RK Foods,electronic city,north indian,300.0,
Amaravathi Andhra Mess,electronic city,andhra,300.0,
Delish Mom Food,electronic city,"chinese, north indian, south indian",300.0,
Casamia Restaurant,electronic city,"arabian, kerala, north indian, south indian",400.0,
Casamia Restaurant,electronic city,"arabian, north indian, south indian",400.0,
KATOOTA,electronic city,"biryani, south indian",300.0,
Rayalaseema Ruchulu,electronic city,"andhra, north indian",700.0,
Andhra Chettinad Cuisine,electronic city,"andhra, chettinad, south indian",250.0,3.6
Varenyam,electronic city,"north indian, south indian",500.0,3.7
Choconut,electronic city,"bakery, desserts",300.0,
Fumzas Dine,electronic city,"biryani, north indian",400.0,
Sri Mandarathi,electronic city,"juices, south indian",350.0,
Biryani Centre,electronic city,south indian,300.0,
Hotel Sinchara,electronic city,"chinese, north indian, south indian",500.0,
ABCD - Anybody Can Dine,electronic city,"chinese, fast food",500.0,
Oven Fresh,electronic city,"bakery, fast food",550.0,
Cake Dilim,electronic city,"bakery, desserts",400.0,3.2
The Veggies,electronic city,"chinese, north indian",200.0,
Cafe Light House,electronic city,"kerala, seafood",500.0,
RICE BAR,electronic city,"biryani, north indian",500.0,
Chillout,electronic city,chinese,300.0,
The French Loaf,electronic city,"bakery, desserts, sandwich",400.0,
Goodness! Beverages,electronic city,beverages,250.0,
Pandit Ji Sweets & Namkeen,electronic city,"fast food, north indian",300.0,
Gugu Fast Foods & Snacks,electronic city,"chinese, fast food, north indian",350.0,
The Tasty Food,electronic city,north indian,200.0,
MGR Foods,electronic city,south indian,300.0,
AJ Ambur Star Biriyani,electronic city,"biryani, south indian",300.0,
BJM Restaurant & Cafe,electronic city,"chinese, fast food, north indian",350.0,
Zinger Cafe,electronic city,"beverages, burger, fast food, ice cream",300.0,
Venkataramana Nellore Mess,electronic city,south indian,200.0,
The Cakesplorer,electronic city,bakery,400.0,
Sruthi Mess,electronic city,"chinese, north indian, south indian",300.0,
Dilli Tadka,electronic city,north indian,300.0,
Vigneshwara Mess,electronic city,"biryani, south indian",200.0,
Ambur Chicken Biryani,electronic city,biryani,150.0,
Star Cafe Hotel,electronic city,"chinese, north indian",350.0,
Samruddhi Restaurant,electronic city,"andhra, chinese, north indian",500.0,
Hotel Malabar,electronic city,"chinese, hyderabadi, mughlai, north indian",400.0,
Anil Andhra Curry Point,electronic city,"andhra, biryani",400.0,
Eatery,electronic city,fast food,100.0,
DIET Cravers,electronic city,"healthy food, salad",300.0,
Shivshankar Hotel,electronic city,"chinese, north indian",350.0,
New Kshatriya Dum Biryani,electronic city,"biryani, south indian",350.0,
The Juice Shop,electronic city,"juices, north indian",200.0,
Reyniks Flavours,electronic city,north indian,150.0,
Cakea,electronic city,bakery,300.0,
VMS Star Biriyani,electronic city,"biryani, south indian",350.0,3.1
MBR Dum Biryani County,electronic city,"biryani, north indian",150.0,3.5
Desi Breakk,electronic city,north indian,150.0,3.6
Bengaluru Restaurant,electronic city,"north indian, south indian",1500.0,3.1
S R Andhra Mess,electronic city,andhra,200.0,3.3
Akshay Biryani Paradise,electronic city,"north indian, south indian",350.0,
Shiv Shankar Hotel,electronic city,"chinese, north indian",350.0,3.5
Gourmet,electronic city,"chinese, continental, north indian, south indian",800.0,3.5
New Hyderabadi Biryani House,electronic city,"biryani, hyderabadi",600.0,
Vibgyor Kitchen,electronic city,north indian,350.0,
NightOwl,electronic city,north indian,400.0,2.7
Big Apple Restaurant,electronic city,"burger, chinese, north indian, pizza",300.0,3.2
Hotel The Nalanda,electronic city,"north indian, south indian",700.0,3.2
The Right Moo Organic Icecreams,electronic city,desserts,300.0,
Pepper Pillar,electronic city,south indian,700.0,3.4
Cool Treat Cafe & Cakes,electronic city,"bakery, fast food",300.0,
Hotel A-1,electronic city,"chinese, north indian",300.0,3.3
Naidu Hotel,electronic city,south indian,200.0,
Andhra Mess,electronic city,south indian,200.0,3.4
Vasu Biriyani Paradise,electronic city,"biryani, chinese, north indian",350.0,3.1
Dilli 6,electronic city,"chinese, north indian",450.0,3.2
Yum Kitchen,electronic city,"chinese, north indian",600.0,2.8
MK Dabbawala,electronic city,north indian,400.0,3.2
The Magic Chef,electronic city,"chinese, north indian",300.0,3.7
Satkar,electronic city,"chinese, north indian",350.0,3.6
Sandesh Sweets & Chats,electronic city,"beverages, south indian, street food",350.0,2.9
NH7 Resto Pub,electronic city,"andhra, chinese, continental",1400.0,3.3
EatPrayLove,south bangalore,south indian,180.0,
Hamara Kozhikode,electronic city,"juices, kerala",300.0,3.3
Food Point,electronic city,"chinese, north indian, south indian",300.0,
New Andhra Spice,electronic city,andhra,400.0,3.3
New Green Leaf Restaurant,electronic city,"chinese, kerala, north indian, south indian",600.0,3.6
Bhukkad,electronic city,"fast food, healthy food",250.0,3.3
Eatsy,electronic city,"north indian, south indian",300.0,3.5
Xpress Kitchen,electronic city,"chinese, north indian",500.0,3.3
Chikeys,electronic city,"burger, fast food",400.0,3.0
Bhavya's Kitchen,electronic city,"andhra, chinese, north indian, south indian",350.0,
Momm's The Kitchen,electronic city,"andhra, chinese, north indian, south indian",500.0,3.4
The Three Dragons,electronic city,chinese,400.0,3.3
Zaffron Express,electronic city,"biryani, chinese, north indian",550.0,3.5
Hungry Kya?,electronic city,"chinese, north indian",400.0,3.3
Hunter's Lounge,electronic city,"chinese, north indian, south indian",500.0,3.1
Polo Scoops,electronic city,desserts,200.0,3.2
Green Tree Garden Restaurant,electronic city,"chinese, hyderabadi, mughlai, south indian",500.0,3.4
Till The Last Bite,electronic city,"chinese, north indian",300.0,3.4
Sattvic,electronic city,"north indian, south indian",450.0,3.5
Old Stories,electronic city,"bengali, north indian, oriya",600.0,3.7
Ham Khim Chinese Fast Food,electronic city,chinese,300.0,3.1
Mast Kalandar,electronic city,north indian,450.0,2.4
The Breakfast Club,electronic city,"continental, north indian, south indian",400.0,3.9
HOT BOX,electronic city,"chinese, north indian",200.0,3.6
4Foodiez - The Restaurant,electronic city,"chinese, north indian, south indian, street food",400.0,3.0
Sapfresh,electronic city,beverages,150.0,
Biriyani Paradise,electronic city,"biryani, kerala, north indian, south indian",550.0,3.5
Marwa Family Restaurant,electronic city,"chinese, north indian",500.0,3.0
Hotel Sri Chiraag Sagar,electronic city,"chinese, north indian, south indian",400.0,
Tasty Funda,electronic city,"chinese, north indian",200.0,3.3
Pugals Biriyani,electronic city,"biryani, chinese, kerala, north indian",400.0,3.6
Enroute,electronic city,"continental, fast food",300.0,3.6
Shree Sai Foods,electronic city,south indian,300.0,
ANR Dum Biryani Centre,electronic city,"biryani, south indian",350.0,
Nitara Muticuisine Kitchen,electronic city,"north indian, south indian",300.0,
Sai Upahar,electronic city,"south indian, street food",200.0,
Lancy Sweets,electronic city,mithai,200.0,3.7
SV Crispy Chicken,electronic city,fast food,200.0,3.5
Grand Taj,electronic city,"biryani, chinese, north indian",200.0,
Choconut Cafe,electronic city,"beverages, fast food",250.0,3.4
Payal Fast Food & Tiffen Centre,electronic city,fast food,100.0,
Fine Dine Restaurant,electronic city,"biryani, fast food, south indian",200.0,
Public Cafe,electronic city,continental,700.0,
Nivaan's Kitchen,electronic city,"biryani, north indian",600.0,
Lekha's Delicacies,electronic city,"chinese, north indian, south indian",300.0,
Rara Avis,electronic city,"biryani, desserts, kerala, seafood",400.0,
Clean Eats,electronic city,healthy food,300.0,
Shaadi Ki Biryani,electronic city,"biryani, charcoal chicken",600.0,
Arzak,electronic city,"arabian, bbq, middle eastern, rolls, seafood",300.0,
Desi Tadka,electronic city,"chinese, north indian",300.0,3.0
Hotel Amrit,electronic city,"chinese, juices, north indian",250.0,
FAB Cafe,electronic city,"beverages, fast food",250.0,3.1
Spicy Tadka,electronic city,"bengali, chinese, north indian",400.0,3.5
Hot & Cool,electronic city,fast food,150.0,
Foodiction,electronic city,"burger, chinese, fast food, north indian",500.0,
Affa Cafeteria,electronic city,fast food,200.0,
Adya Hotel,electronic city,"chinese, north indian, south indian",400.0,3.3
The US Burger,electronic city,fast food,150.0,3.0
Pehla Niwala,electronic city,"momos, north indian",400.0,2.8
The Lemon Grass Kitchen,electronic city,"chinese, thai",300.0,3.3
Ayesha Hotel,electronic city,"fast food, hyderabadi",500.0,
Bite Sip Repeat,electronic city,"fast food, north indian, south indian",150.0,3.4
White Chillies,electronic city,biryani,300.0,
Mazali,electronic city,"kerala, north indian",350.0,
Andhra Ruchulu,electronic city,south indian,250.0,3.3
Taste Of Rajasthan,electronic city,"north indian, rajasthani, street food",200.0,
Chef Delicacies,electronic city,"charcoal chicken, kebab, rolls",400.0,
Flavors Restaurant,electronic city,north indian,150.0,
Star Briyani,electronic city,"biryani, north indian",200.0,
Nawabi Kitchen,electronic city,"chinese, north indian",600.0,
Namma Atithi,electronic city,"biryani, chinese, north indian, south indian",200.0,
nu.tree,electronic city,"beverages, healthy food, north indian",400.0,
Sandwich Jn,electronic city,"beverages, fast food",150.0,
Flavour A Azam,electronic city,north indian,400.0,3.5
Bawarchi Restaurant,electronic city,"biryani, north indian",700.0,3.1
Bhokali Paratha,electronic city,north indian,400.0,
Curries And Pickles,electronic city,"andhra, biryani, north indian",400.0,3.6
Bhaiya Ji Food Court,electronic city,"chinese, north indian",300.0,3.5
Chung Wah,electronic city,chinese,500.0,2.9
Madiha Biryani House,electronic city,"beverages, biryani, north indian",450.0,3.4
Xpress Chai,electronic city,tea,150.0,
Eat Repeat Express,electronic city,"chinese, continental, north indian",600.0,3.1
Mustard Food Court,electronic city,"chinese, north indian",500.0,3.8
Cafe Black Pepper,electronic city,fast food,200.0,
Chokha Zaika,electronic city,north indian,300.0,
Vijayawadavari Sandya Andhra Mess,electronic city,andhra,200.0,3.6
E - City Combos,electronic city,"biryani, chinese, north indian, south indian",350.0,3.5
Nesara Upahar,electronic city,"chinese, north indian, south indian",250.0,
Hide Out - The Golden Tulip,electronic city,finger food,1800.0,3.2
Funky Food,electronic city,"beverages, desserts, fast food",60.0,
Vyanjan,electronic city,"chinese, north indian",400.0,3.3
Vandana Restaurant,electronic city,"arabian, biryani, chinese, north indian",400.0,
Mr. Paratha & Ms. Curry,electronic city,biryani,300.0,
Tempting Aroma,electronic city,"bbq, chinese, north indian",300.0,
TeamDelish,electronic city,healthy food,300.0,3.4
Mitran Da Adda,electronic city,"fast food, north indian",350.0,
Amba Food,electronic city,north indian,180.0,
Krish Kitchen,electronic city,"bengali, north indian",300.0,
Oriental Fusion,electronic city,"american, continental",700.0,
Patravali Biriyani,electronic city,"biryani, fast food",400.0,
Shoiab Family Restaurant,electronic city,"chinese, north indian, south indian",600.0,3.6
Pandit Ji Sweets & Namkeen,electronic city,"mithai, street food",300.0,3.6
Ramdev Bhojnalaya,electronic city,"gujarati, rajasthani",200.0,3.0
Gifts N Surprise,electronic city,bakery,500.0,
Bangalore Cakes,electronic city,bakery,250.0,2.9
Village Palace,electronic city,"andhra, chinese, north indian, seafood",250.0,3.0
Super Hyderabadi Dum Biriyani & Combos,electronic city,"biryani, north indian, south indian",300.0,
Hotel Masti,electronic city,"biryani, chinese, north indian",300.0,2.8
Milkshake Kulture,electronic city,beverages,300.0,3.5
Baskiin's Rabbin,electronic city,"beverages, desserts, fast food",300.0,
Sethi's,electronic city,"bbq, chinese, north indian",600.0,
Krutunga Restaurant,electronic city,"chinese, north indian, south indian",700.0,3.4
The Kitchen,electronic city,"chinese, north indian",250.0,3.7
Choco Nut Cafe,electronic city,desserts,150.0,3.2
Adyar Anand Bhavan Sweets,electronic city,"chinese, north indian, south indian, street food",200.0,
Magic Packs,electronic city,"north indian, south indian",300.0,3.1
Aamaravathi Biryani Zone,electronic city,biryani,300.0,
Kairali Restaurant,electronic city,"kerala, south indian",400.0,3.4
Cake Spot,electronic city,bakery,400.0,
Grilliez,electronic city,"bbq, beverages, continental",400.0,
Kanti Sweets,electronic city,"mithai, street food",400.0,3.6
Kadhai Tadka family Restaurant,electronic city,"chinese, north indian",400.0,
Food Lover,electronic city,"fast food, north indian, south indian",300.0,
Chatkara,electronic city,north indian,300.0,
Baker's Cafe,electronic city,"bakery, desserts",200.0,
The Hyderbadi Chefs,electronic city,"chinese, north indian, south indian",400.0,3.4
Bhojan@99,electronic city,fast food,200.0,
Swaadh,electronic city,"chinese, kerala, north indian, south indian",300.0,
Bake Magic,electronic city,bakery,300.0,
Adarsh Bakery,electronic city,"bakery, fast food",300.0,3.1
The Fiery Indian Kitchen,electronic city,north indian,650.0,
Machlee's Sea Food,electronic city,seafood,200.0,
The Duke of Juices,electronic city,"beverages, juices, salad",200.0,
Cafe Xtasi,electronic city,pizza,,
Basmati's Briyani Nation,electronic city,"biryani, south indian",350.0,
Silver Leaf - Ramee Guestline Hotels,electronic city,"chinese, continental, mughlai, north indian",900.0,3.5
Jodhpur Sweets,electronic city,"desserts, street food",100.0,3.8
Sriji's Mithai,electronic city,"desserts, mithai",150.0,3.4
Sweet Revenge,electronic city,"bakery, fast food",300.0,3.3
Maruthi Sweet Corner,electronic city,desserts,300.0,
Sri Mahadev Sweets,electronic city,"desserts, mithai, street food",150.0,
Me And My Cake,electronic city,"bakery, desserts",500.0,
The Cake Lair,electronic city,"bakery, beverages, fast food",600.0,
Kulfi House,electronic city,ice cream,200.0,3.7
Cool Break,electronic city,"desserts, fast food",150.0,3.4
Hotel Ivy Dew Drops,electronic city,"chinese, north indian, south indian",900.0,3.2
46 Ounces Brewgarden,electronic city,"bar food, finger food, pizza",1600.0,
Queens,electronic city,"british, continental, north indian",1400.0,4.3
Hyderabadi Spice,electronic city,"biryani, north indian",600.0,4.0
Republic Of Noodles - Lemon Tree Hotel,electronic city,"chinese, malaysian, singaporean, thai",1500.0,4.3
Sherlock's Pub,electronic city,"continental, north indian",1300.0,3.6
Shandys-The Beer Cocktail Hub,electronic city,"chinese, italian, north indian, south indian",1400.0,
Godavari Delights,electronic city,"andhra, biryani, north indian, seafood",450.0,3.9
Tayo Restaurant,electronic city,"chinese, mughlai, north indian",600.0,3.9
The Chameleon,electronic city,finger food,1200.0,4.1
The Terminus - The Oterra,electronic city,"continental, finger food",2500.0,4.0
East- The Oterra,electronic city,"chinese, malaysian, thai, vietnamese",2200.0,4.0
Slounge - Lemon Tree Hotel,electronic city,finger food,1500.0,3.8
Guntur Royal Dine,electronic city,"chinese, north indian, south indian",700.0,3.4
Maa Reddy's Hyderabadi Biryani House,electronic city,"biryani, chinese, north indian",400.0,3.8
Beijing Bites,electronic city,"chinese, thai",850.0,3.6
Aura - Radha Regent,electronic city,"american, chinese, continental, italian, north indian, south indian",1200.0,3.6
Unlock - The Restobar,electronic city,japanese,1200.0,3.8
Alloro - The Oterra,electronic city,italian,2500.0,4.0
Vms Star Biriyani,electronic city,biryani,500.0,3.8
Santhrupthi,electronic city,"andhra, biryani, north indian, south indian",550.0,3.4
Z-Bar,electronic city,"finger food, north indian",1500.0,4.1
Urban Udupi Veg Restaurant,electronic city,"chinese, north indian, south indian",400.0,3.5
Strada Kitchen & Bar,electronic city,"chinese, north indian, south indian",1000.0,3.4
New Nalapakam,electronic city,south indian,500.0,
Hatti Punjab Di,electronic city,"chinese, north indian",550.0,3.0
Prestige Estate Club and Resorts,electronic city,north indian,1000.0,3.5
Sree Krishna Sagar Greens,electronic city,"chinese, south indian, street food",300.0,2.8
Karavali Fishland,electronic city,"chinese, mangalorean, south indian",700.0,3.1
Royal South Restaurant,electronic city,"chinese, south indian",650.0,
Rraps,electronic city,"chinese, north indian",700.0,
Glasso Cafe,electronic city,"chinese, continental",1200.0,
Reddy Restaurant,electronic city,south indian,300.0,3.2
On The Rock,electronic city,"chinese, north indian",1000.0,
NS Garden Restaurant,electronic city,"andhra, chinese, north indian, south indian",550.0,
Hotel Jade Empire,electronic city,"andhra, chinese, north indian",700.0,3.1
Joshitha Andra Mess,electronic city,"andhra, biryani",250.0,3.2
Hotel Amulya,electronic city,"chettinad, chinese, north indian",500.0,
90's Beer Cafe - Hotel Millennium Plaza,electronic city,finger food,1000.0,3.0
Nirvana Bar - Manipal County,electronic city,finger food,1000.0,3.3
Narayana Veg Treat,electronic city,"chinese, north indian, south indian",350.0,3.1
3rd Innings,electronic city,"burger, chinese, italian, north indian",1000.0,3.0
Sahaja Foods,electronic city,south indian,150.0,
BJM Restaurant and Cafe,electronic city,"chinese, continental, north indian",700.0,
Shree Ranga Vilas,electronic city,"chinese, juices, north indian, south indian",500.0,3.2
The Elachi,electronic city,north indian,500.0,3.1
Ruchir,electronic city,"biryani, north indian, south indian",600.0,3.3
Bollywood Grill,electronic city,north indian,1500.0,3.4
Envy,electronic city,finger food,1000.0,3.4
S.K Green Gardens,electronic city,"chinese, north indian, seafood, south indian",550.0,3.2
Pink Pepper,electronic city,"chinese, north indian, south indian",700.0,3.3
Kotae Garden,electronic city,"andhra, chinese, north indian",450.0,3.1
Anmol Sweets And Snacks,electronic city,"fast food, mithai, street food",200.0,
BJM Restaurant & Cafe,electronic city,"chinese, north indian, south indian",600.0,
Nellore Ruchulu,electronic city,andhra,500.0,
La Liz Restaurant,electronic city,"chinese, north indian, south indian",400.0,
Spice,electronic city,"andhra, chinese, north indian",1500.0,3.3
Flavors,electronic city,"chinese, continental, north indian, south indian",1200.0,3.4
Hotel Vinn,electronic city,"chinese, north indian, south indian",600.0,
Mahadwani Restaurant,electronic city,"north indian, south indian",300.0,3.3
Rajasthani Charbhuja Restaurant,electronic city,"chinese, north indian, rajasthani",350.0,4.0
The Daily,electronic city,"north indian, rajasthani",400.0,4.0
Polar Bear,electronic city,"beverages, desserts, ice cream, sandwich",400.0,4.0
Faasos,electronic city,"biryani, fast food, north indian",500.0,4.0
McDonald's Play Place,electronic city,"burger, fast food",500.0,3.7
Sanjeevini Veg,electronic city,south indian,200.0,3.9
Marmaris,electronic city,"momos, north indian",300.0,3.8
Jigani Dum Biryani Centre,electronic city,biryani,150.0,3.3
Nandini Dosa Camp,electronic city,south indian,100.0,
Hanchina Mane Restaurant,electronic city,north indian,400.0,
Naadan Bhakshanasaala,electronic city,"kerala, south indian",250.0,3.3
BMG Hotel,electronic city,"north indian, south indian",200.0,
RKA Brahmins Coffee Bar,electronic city,south indian,150.0,
Kasturi Grand,electronic city,south indian,250.0,
My Cafe,electronic city,"chinese, fast food, north indian",350.0,3.6
Pizza Hut,electronic city,pizza,750.0,2.7
Sri Matha Sagar,electronic city,"chinese, north indian, south indian",250.0,2.8
Grand Taj Durbar,electronic city,"chinese, north indian",300.0,3.5
New Hotel Prashanth,electronic city,"andhra, fast food",300.0,3.1
Super Hyderabadi Dum Biriyani & Combos,electronic city,"biryani, south indian",300.0,
Amaravathi Andhra Style Family Restaurant,electronic city,andhra,250.0,
Sai Sagar Food Court,electronic city,"chinese, north indian, south indian",300.0,
Tiffin,electronic city,fast food,100.0,
French Bake House,electronic city,"bakery, beverages, burger, fast food, rolls",350.0,3.3
Basveshwara Khaanavali,electronic city,south indian,150.0,3.5
Cafe Shawamek,electronic city,fast food,300.0,3.2
Sri Varu Food Corner,electronic city,south indian,150.0,
New Priya Sagar,electronic city,"chinese, south indian, street food",200.0,
MKA Ambur Hot Dum Biriyani,electronic city,biryani,200.0,
V20,electronic city,"continental, north indian",300.0,
M S Punjabi Dhaba,electronic city,"chinese, north indian",300.0,
Pratha N Snacks,electronic city,"north indian, street food",200.0,
Maa Sharda Hotel,electronic city,"chinese, north indian",350.0,
The Malabari,electronic city,"fast food, south indian",300.0,
Neelu's Food Court,electronic city,"fast food, south indian",250.0,
Hyderabadi Biriyani Corner,electronic city,biryani,200.0,
Sharon Hotel,electronic city,"kerala, south indian",300.0,
Wow Manglore Multi Cuisine Restaurant,electronic city,"fast food, kerala, mangalorean, seafood, south indian",300.0,
Punjabi Dhaba And Family Restaurant,electronic city,"chinese, north indian",250.0,
Goli Vada Pav No 1,electronic city,street food,200.0,3.4
Halli Mane Badoota Hotel,electronic city,south indian,300.0,
Pathumma`s Kitchen,electronic city,north indian,200.0,3.2
Star Ambur Dum Biryani,electronic city,biryani,200.0,3.2
Hotel Thalassery,electronic city,"kerala, south indian",200.0,3.4
The Foodware Veg,electronic city,south indian,400.0,3.8
Reddy Dhaba,electronic city,north indian,350.0,
I Siri Restaurant And Caterers,electronic city,"chinese, north indian, south indian",400.0,3.4
S.L.V.Brahmin Cafe,electronic city,south indian,100.0,
Grand Fast Food,electronic city,fast food,250.0,
Wedesi,electronic city,north indian,250.0,
A-1 Fast Food,electronic city,fast food,100.0,
Sri Ragavendhra Upahar,electronic city,south indian,200.0,
Sri Kathyayani Upahar,electronic city,south indian,250.0,
Daafoodies,electronic city,kerala,400.0,3.2
Vasu Biriyani Paradise,electronic city,"chinese, north indian, south indian",200.0,
Paris Restaurant,electronic city,north indian,350.0,
Naati Kitchen,electronic city,"kerala, south indian",300.0,
BJ Bhavan Veg Restaurants,electronic city,"chinese, north indian, south indian",350.0,
TRS Family Restaurant,electronic city,"andhra, south indian",150.0,
Grand Kudla Family Restaurant,electronic city,"chinese, north indian, south indian",300.0,
Theka,electronic city,"north indian, street food",300.0,
Pals Food Point,electronic city,south indian,150.0,
Hot 'N' Fresh,electronic city,fast food,250.0,3.5
Indian Tava Phasta,electronic city,"north indian, rolls",250.0,
Ambur Dum Biriyani,electronic city,"biryani, kebab",300.0,3.3
Lion City Restaurant and Cafe,electronic city,"chinese, north indian, south indian",300.0,3.3
Ambur Dum Biryani,electronic city,"biryani, fast food",300.0,
V-3 Food Spot,electronic city,"chinese, north indian, south indian",300.0,
Delhi Pizza House,electronic city,"american, pizza",400.0,3.2
Shri Lakshmi Vilas Andhra Mess - Taste of Vijayawada,electronic city,"andhra, biryani, chinese",500.0,
Aafa Calicut Restaurant,electronic city,"chinese, fast food",150.0,
Delhi's Essence,electronic city,north indian,500.0,3.6
Hotel Manarama,electronic city,north indian,200.0,3.7
Kerala Food,electronic city,"kerala, south indian",250.0,
Chill Out Bar,electronic city,"fast food, finger food",1500.0,
Mambos Cafe,frazer town,"beverages, cafe, continental, fast food",1100.0,3.9
Cafe Arabica,frazer town,"bakery, cafe",700.0,4.1
Cafe Coffee Day,frazer town,"cafe, fast food",900.0,3.1
Happy Belly Bakes,frazer town,"bakery, cafe",350.0,4.1
Loca Moca,frazer town,"cafe, continental",600.0,2.9
Starbucks,commercial street,"cafe, desserts",700.0,3.5
Cafe Nibras,banaswadi,"cafe, continental",400.0,3.4
The Sanctuary,banaswadi,"cafe, fast food",450.0,3.9
Cafe Jezve,koramangala 5th block,cafe,500.0,3.8
eat.fit,indiranagar,"biryani, continental, desserts, healthy food, north indian, sandwich",500.0,4.5
FreshMenu,north bangalore,"american, biryani, burger, chinese, continental, healthy food, north indian, salad",450.0,3.6
Empire Restaurant,rt nagar,"chinese, mughlai, north indian, south indian",750.0,4.0
Just Shawarma,kammanahalli,arabian,300.0,3.7
Mother's Kitchen,rt nagar,north indian,600.0,3.7
Al Amanah Cafe,kammanahalli,"fast food, middle eastern, rolls",300.0,4.4
Ahaan Restaurant,rt nagar,"chinese, north indian",300.0,2.8
Vijayalakshmi Veg,nagawara,south indian,200.0,3.9
Fish Chain,kammanahalli,"bbq, biryani, burger, seafood",300.0,3.4
Punjabi Restaurant,rt nagar,"chinese, north indian",400.0,3.3
Biryani Khazana,indiranagar,biryani,600.0,3.0
Thalassery Restaurant,kammanahalli,"arabian, biryani, chinese, kerala, north indian, seafood, south indian",800.0,3.9
Biriyani Nights,kammanahalli,"biryani, continental, kebab",500.0,2.9
Paradise,indiranagar,"biryani, kebab, north indian",800.0,4.1
Shawarma King Restaurant,kammanahalli,"arabian, chinese, north indian",500.0,3.5
The Good Bowl,indiranagar,"biryani, italian, north indian",500.0,3.6
Bathinda Dine,indiranagar,north indian,950.0,4.1
Hotel Zam Zam,hennur,"chinese, north indian",300.0,3.1
Taco Bell,indiranagar,"american, fast food, mexican",600.0,4.1
Sanky's Burger House,hennur,"burger, fast food",300.0,4.3
Asha Sweets Center,indiranagar,"mithai, street food",200.0,4.1
Al-Baik Tandoori Restaurant,nagawara,"arabian, biryani, chinese, north indian, rolls",450.0,3.6
Pizza Hut,frazer town,"fast food, pizza",750.0,3.3
Food Box,kammanahalli,"beverages, fast food",350.0,3.6
Altaf's Chillies Restaurant,frazer town,"chinese, north indian",500.0,3.8
New Kairali Restaurant,kammanahalli,"kerala, south indian",400.0,3.7
Arabian Shawarma,kammanahalli,arabian,150.0,3.7
Crunch Pizzas,banaswadi,"italian, pizza",600.0,2.6
9 Bowls,banaswadi,"chinese, continental, healthy food, north indian",500.0,
The Mangalorean,kammanahalli,"konkan, mangalorean, seafood",550.0,4.1
Kanti Sweets,rt nagar,"mithai, street food",400.0,3.9
Chickpet Donne Biriyani Mane,kalyan nagar,"biryani, kebab",350.0,3.0
Momoz,kammanahalli,"chinese, momos",500.0,3.9
Connie's Restaurant & Steakhouse,kammanahalli,"american, bbq, burger, continental, european, salad, steak",1500.0,4.3
Seafood Place,indiranagar,"chinese, kerala, mangalorean, north indian, seafood",800.0,4.1
Sri Sagar,kammanahalli,"chinese, juices, north indian, south indian, street food",300.0,3.7
New Biriyani Darbar,rt nagar,"biryani, chinese, north indian, south indian",450.0,3.6
Biryani Bar,kalyan nagar,biryani,500.0,
Annabell,indiranagar,"beverages, continental",700.0,4.0
Samovar,kammanahalli,"kerala, south indian",600.0,3.9
Home Food,kammanahalli,south indian,300.0,3.4
JS Food Court,kammanahalli,"fast food, juices",400.0,3.8
Wild Range Restaurant,kammanahalli,"chinese, north indian",600.0,3.8
Karachi Bakery,indiranagar,bakery,500.0,3.9
Pizza Stop,banaswadi,"italian, pizza",500.0,3.8
Crunch Pizzas,banaswadi,pizza,400.0,2.9
SS Bucket Biryani,frazer town,"biryani, chinese, north indian",600.0,3.9
Omleterian,kammanahalli,"american, continental",200.0,
Fanoos,frazer town,"arabian, bbq, north indian, rolls",400.0,3.9
PurpleBasil.in,kammanahalli,"desserts, healthy food",500.0,4.1
Afrina's Kitchen,kammanahalli,"desserts, fast food",250.0,3.4
Glen's Bakehouse,indiranagar,"bakery, cafe, desserts, italian",600.0,4.2
Wangs Kitchen,frazer town,chinese,1000.0,3.1
Juicy Juice,rt nagar,"beverages, ice cream",100.0,
Jingo BBQ & Burgers,kammanahalli,"bbq, burger",550.0,3.9
Zabi,hbr layout,biryani,300.0,3.8
Upahara Mandira,hbr layout,"chinese, north indian, south indian",300.0,3.9
Thai House,indiranagar,thai,800.0,4.2
American Bites,kalyan nagar,"burger, fast food, pizza",450.0,2.4
BIB - Breakfast in the Box,kammanahalli,"american, sandwich",600.0,3.5
Imli,indiranagar,"north indian, street food",900.0,3.9
Calicut Restaurant,kammanahalli,"chinese, kerala, north indian, south indian",450.0,3.6
Chubalas Curry And Rice,kammanahalli,"chinese, goan, naga, seafood",550.0,4.0
Sannidhi Grand,kammanahalli,"chinese, north indian, south indian, street food",300.0,3.8
Navarang Fast Food,kammanahalli,"chinese, kebab, north indian, rolls",300.0,3.6
New Peking,kammanahalli,"chinese, malaysian",700.0,4.1
Manju's Kitchen,indiranagar,biryani,200.0,3.3
Biggies Burger 'n' More,indiranagar,"beverages, burger, cafe",650.0,4.3
Asaivam Restaurant,indiranagar,"chettinad, south indian",750.0,4.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Secret Alley,indiranagar,"cafe, fast food",450.0,3.9
The Food Corner,rt nagar,"chinese, north indian",400.0,
Peace Restaurant,indiranagar,"chinese, tibetan",500.0,2.6
